Region,Tweet,Sentiment
West,sudahlah berbau rambut lagi bau bau kepet telinga nda kasih bersih kuku kaki kutur no social distancing muka pun buruk gemuk lagi ops kening nda terurus ,NEGATIVE
West,mungkin boleh kemukakan cadangan kepada pihak berkuasa tempatan utk memantau pasar ikan lahad datu terlalu berapat3 dan takda social distancing ,NEGATIVE
West,time to pilih pemimpin yang ada background science yang faham apa itu incubation period possibilities virus can spread precautions and semualah ni tau nak berkempen je mask tak pakai social distancing tak jaga ale ale ckp no need quarantine if 1st swab test ve ,NEGATIVE
West,waduh makcik in the vet surung kerusinya ampir2 me bc ia kan bcrita i tot we have to practice social di,NEUTRAL
West,selamat hari raya aidilfitri maaf zahir dan batin raya yang berlainan terma untuk tahun ini alhamdulillah dapat juga beraya bersama2 keluarga di kampung #socialdistancing #kitajagakita #covid19 felda ulu jempol ,POSITIVE
West,moral in this value is wear a mask amp keep social distancing kita as a netizen ada yang masuk campur ada yang tidak kepada yang tidak tau apa cerita sebenar janganlah sukahati mau sebarkan berita yg bukan2 nda tau cerita diam santai jak keep strong https ,POSITIVE
West,satu benda spoil during big opening new store uniqlo dekat damansara ni sebab kau tahu kau ada ramai customers and mmg kena buat sticker social distancing buat la sampai ke parking pun orang tetap akan beratur juga ,NEGATIVE
West,btw good morning gais have a nice day everyone dont forget to stay hydrate by drink at least 2l per day 4 negeri yg dah habis pkpb esok jgn seronok sangat ya tak pakai mask social distancing still need to be practised ,NEGATIVE
West,boek social distancing,NEUTRAL
West,typo guys hahaha #socialdistancing,POSITIVE
West,effective 1st august 2020 don t forget to wear your face mask in public transportation crowded public spaces and areas where social distancing is impossible or else you need to spend all your duit raya worth rm1 000 ,NEUTRAL
West,tapi before pkp pun memang sekolah ni dah amalkan social distancing 1m ,POSITIVE
West,#tb hari raya ke 2 ziarah kawan2 kerja #colleague #socialdistancing #handsanitizer #eidmubarak2020 #rayake2 lucky garden tj batu bintulu ,POSITIVE
West,ni apa cerita ni ds mana sop mana mask mana social distancing and yg paling penting bila nak saman semua yg langgar sop dlm gambar ni ,POSITIVE
West,malaysia did successfully stop covid 19 with 0 case but why allow those returning home without forced quanrentine to restart covid 19 recently so many leaders were not respecting social distancing and wearing masks in activities and gatherings where is leadership by example ,POSITIVE
West,and no social distancing,NEUTRAL
West,scene from last night at the counter people not adhering to social distancing norms lack of information with passengers from many flights not knowing where to go the immigation and security check process were smooth ,NEUTRAL
West,social distancing semua bagus ,POSITIVE
West,first night interstate travel during #unlock1 roadside dhabas serving only on disposables roads owned by trucks 4 wheelers hardly seen many check post but no police driver wanted me to sit on d back to maintain social distancing but i preferred front seat due to airbag,NEUTRAL
West,eh thought there will be social distancing in the flight one seat divider kinda thing ,NEUTRAL
West,exactly if they all end under the same roof there s no meaning to it don t practice social distancing just for the sake of it just like how taking ur temperature and making sure you don t have a fever for the sake of sop doesn t mean ,NEUTRAL
West,social distancing gone wrong a mess huge messssss,NEGATIVE
West,don t be afraid to rock the boat if someone fall off your boat they weren t meant to be it #staysafe #recoverymovementcontrolorder #pkpp #socialdistancing #onemeter #asian #asianmen #lelakimalaysia #kitajagakita ,NEGATIVE
West,wear your mask wash your hands practice strict social distancing we gotta stop the spread lower the curve ease the burden of our frontliners ,NEGATIVE
West,social distancing nie,NEGATIVE
West,it s eiduladha a great divine of sacrifice since that gotta sacrifice my egos in following the sop while enjoying my raya by keep my mask on and mind my social distancing i hope that you al,POSITIVE
West,social distancing di na need matagal na xang lumayo eh ,NEUTRAL
West,asal tak ada social distancing ni ,NEGATIVE
West,ive been watching clips of very peaceful protests glad to see that everyone is social distancing,POSITIVE
West,social distancing mana sial ko tau tak kami dekat uni terpaksa pecahkan kelas max 40 satu sessi sebab nak jaga jarak 1 m ko ddk dkt2 mcmtu mana akai nak jual air liur boleh tapi kena jual otak sekali ,NEGATIVE
West,dah kalau tiap hari mcm hari raya social distancing tah kemana ,NEGATIVE
West,watermelon do social distancing too ,NEUTRAL
West,social distancing ,NEUTRAL
West,social distancing lah dari orang2 umno sekarang ni just to be safe ,POSITIVE
West,apsal story ig nak tambah pon kene jauh jauh jugak ni apps pon nak social distancing ke halahh,NEGATIVE
West,lantak la nk pkp no brape pun pening dgn korangnye annoucement pusing2 kita jaga la family masing2 and follow guidelines kkm apply social distancing cuci tangan keluar pakai mask and tu pun keluar bila betul2 perlu saja jgn rasa selesa sangat ,NEGATIVE
West,salam #aidiladha penjarakan sosial masih diamalkan taqabballahu minna wa minkum #covid19 #socialdistancing #eid jitra kedah darul aman ,POSITIVE
West,alhamdulillah lama dah rasa tak dpt solat berjemaah dkat masjid terus vibes dia extra terlebih lebih dgn social distancing lagi,NEGATIVE
West,dah tau musim covid ni mmg tau laa tak terima tetamu tak open house mmg tau la nak jaga social distancing lagikan pg rumah makcik takda nak salam2 walaupun buka puasa sama2 ,NEGATIVE
West,while we await for a cure for covid 19 why don t we try to stop it by follow simple rules 1 wear a mask 2 try social distancing 3 quanrentine all have contact with covid 19 positives not wearing a mask isn t brave but stupid because you wear for others now all can work ,POSITIVE
West,gigi dia #socialdistancing ,POSITIVE
West,i am sorry to all the ships at arc but i love how peaceful quiet and safe this place really is muahahaha social distancing achieved arc alexandra retail centre ,POSITIVE
West,entahla for me betternya to give options uni ambik siapa yang betul2 struggle in odl or prefer f2f learning lecturer sambil ajar f2f can also do zoom u kill 2 bird with one stone should be selective sbb to provide accommodation amp social distancing ,NEUTRAL
West,christmas is a season to wish one another joy and love and peace merry christmas my dear family amp friends may you feel the love this special day #merrychristmas #valimai #staysafe #stayhealthy #socialdistancing #flattenthecurve #earthishealing #battlingcovid19 ,POSITIVE
West,tapi dalam bilik persalinan pogo ramai2 social distancing just for tv je pebenda la ,NEGATIVE
West,lain mcm keras org sini no facemask no social distancing aku je beria pakai bagai haha,POSITIVE
West,cmco was enforced in sabah selangor putrajaya amp kl stay safe during cmco particularly if you have to head out for essentials #stayhome #cmco #washyourhands #socialdistancing #wearamask ,POSITIVE
West,by looking at those numbers it seems there is no end of covid cases until we get vaccinated please take care everyone maintain social distancing wear mask and sanitise your hand stay at home for our safety ,NEUTRAL
West,congratulations j social distancing,POSITIVE
West,social distancing and hand sanitizers in place thank you folks don t forget to wash your hands #lovewhatido #greatrelationships #leadershipdevelopment #sld #basfpetronaschemicals kuantan ,POSITIVE
West,social distancing kalau dekat confirm gaduh #wafiy #uzma #jumpmay kota samarahan ,POSITIVE
West,itu la bah aku lama sudah terfikir apa lah makna kita disuruh social distancing di restoran sama orang yang kita sama2 datang naik kereta ,POSITIVE
West,the social distancing here is very extreme ,NEUTRAL
West,don t really see the point in social distancing for goal celebrations and disputes what about corners free kicks 1v1 s and walls etc #p,POSITIVE
West,social distancing but without mask ,NEUTRAL
West,tengok ni kucing pun pandai social distancing gitu location kfc drive thru tanjung lalang temerloh ,POSITIVE
West,social distancing breakfast they serve us to minimise contact ,NEUTRAL
West,nilai top brasses #pdrm #seriemasgolf #kotaseriemas #socialdistancing ,POSITIVE
West,social distancing ,NEUTRAL
West,wayang betul social distancing diorang ni masa rehearsal aku tengok berkumpul rilek macam takde ape ,NEGATIVE
West,jadi takut bila tengok ramai yang dah tak takut #kitajagakita ni macam takda makna je sekarang ni #socialdistancing #covid19,NEGATIVE
West,social distancing,NEUTRAL
West,done service baby axia #perodua #dmm #axia #socialdistancing https ,POSITIVE
West,transmission of covid virus is 1 3 6 can u imagine 1 3 3 9 9 27 and the list goes on that s why social distancing is crucial now ,NEGATIVE
West,wow these creatures are so well behaved they can practise social distancing lots better than human beings ,POSITIVE
West,fortunately england is smart not to drop restrictions on us because us citizens do not have self discipline of wearing masks or social distancing and that trump government doesn t take covid 19 seriously or has check if those going to uk are free of covid 19 ,POSITIVE
West,mestilah jeling sekarangkan covid kena social distancing ,NEGATIVE
West,e book available more #irconline #utpinme #staysafe #stayhealthy #socialdistancing ,POSITIVE
West,the crowd at vivocity is ridiculous no social distancing and no crowd control makes you feel like covid 19 was a thing of the past harbourfront centre ,NEUTRAL
West,izzuddin hahaha so far diorg dapat follow social distancing apa semua tu tak ,NEGATIVE
West,aku dah sakit belakang ni nak berdiri dlm train boleh tak nak duduk je tak social distancing ,NEGATIVE
West,okay la kitaorang takda la kesah sangat orang yang datang mall jalan jalan ni tapi tolonglah follow the rules and social distancing dah apply to kedai tapi ada customer benak duduk juga lima orang per meja and rapatkan meja ada yang marah suruh tulis nama ,NEGATIVE
West,hahahaha i don t really know tpi aku yakin punca utama adalah tan sri tagline leading the way untuk uia tu memainkan peranan penting tan sri ad cite knp better use physical distancing rather than social distancing ,POSITIVE
West,missing those days where we dont have to be social distancing no masks on chilling with friends with no curfew able to travel ,NEUTRAL
West,janji pakai mask wkwkwkw and patuh social distancing,POSITIVE
West,harini hari hadap jalan jem dekat melaka jem sampai dekat ganu pun jem dekat ganu jalan jem sbb ambang merdeka dekat drawbridge punya pasal harap tak lupa pakai mask amp social distancing ,NEGATIVE
West,akan jadi masalah kalau kita ada covid tapi takde simptom kalau terbersin xde lapisan tahan air tu terus jangkit kat orang sekitar unless mmg observe social distancing ,NEGATIVE
West,ya juak nak ke sabah ya juak kes banyak tapi sikhal as long as jaga kebersihan social distancing inshaallah okay or should i say tabrak aja,POSITIVE
West,some activities are allowed to begin check pic on your right stay tuned for more details coming to you soon but standard s o p such as social distancing is still in effect so please bring your own necessary ,POSITIVE
West,a productive day tourists are back in melaka backpackers checked in at our backpackers hostel tak seramai pre covid 19 because we have to observe social distancing sop cafe sales picking up lega sikit kuranglah korek savings nak bayar gaji staff ,POSITIVE
West,#socialdistancing of the year ,NEUTRAL
West,aina hahhahaa aina pun kena social distancing sikit ni dengan pali hahahahaha ,POSITIVE
West,kucing pun pandai social distancing lahai lokasi kfc temerloh drive thru tanjung lalang ,POSITIVE
West,the words i heard a lot today was social distancing amp 1 meter distance,NEUTRAL
West,resolving issues #holeno10 #yblabu #seriemasgolf #kotaseriemas #socialdistancing ,NEGATIVE
West,hampa semua yg dok kedah pakai la mask and jaga social distancing okey dah ada cluster baru yee take care semua ,POSITIVE
West,bangsa amp agama mana pula yang meharapkan manusia lain dikenakan dengan penyakit covid 19 tak apa mak bapak tetap akan berbangga anak sendiri akan kemudian menjadi macam bapak pula jangan lupa cuci tangan pakai mask social distancing jangan kesana amp kesini jangan keluar rumah ,NEGATIVE
West,people please keep on practicing your social distancing if you really2 have to go out istiqamah please we need to win this war what is the point going out get infected and hospitalised let s not be part of #kkm statistics #kitajagakita #kitamesti,NEUTRAL
West,sejak kena social distancing waktu makan ni susah jugak duk hulur jauh jauh nak share meals ,NEGATIVE
West,pkpb kan duit semua social distancing,NEGATIVE
West,social distancing amp flatten the curve cakap lebih2 nanti org cakap palatao kau tengok je la bideo ni kau dah tau kau share kat group family family dah tau share kat group kerja opis dah tau kau share la kat group masjid #share ,NEGATIVE
West,here again we are assuming all other sop observed like masking amp social distancing ,POSITIVE
West,texas did right and should has done so long ago like china and the rest of asia is trump isn t stubborn masked us should be free from covid 19 now open the ecomony if needed but must ensure compulsory 1 masks 2 social distancing 3 testings 4 tracing and quanrentine,POSITIVE
West,situation okey je semua cuma certain place dia xbg lepak nk makan boleh tpi xrmai sgt org mall mcm biasa jela aku je lari drpd org sbb org kkdg xpeduli pon social distancing ni aihhh,NEGATIVE
West,e book available more #irconline #utpinme #staysafe #stayhealthy #socialdistancing ,POSITIVE
West,rip to the social distancing in this bus,NEGATIVE
West,#tnwkembali thanks semua yang hadir malam ni kita masih dalam mood tnw raya kann thanks yang keep good social distancing antara peserta all time masa workout terbaik keep it up gaiss jumpa lagi next week ya semua #walkthetalk #sihatmilikku #whutcperlis #whkkm2020 ,NEGATIVE
West,social distancing can t relate ,NEUTRAL
West,mana social distancing ,NEGATIVE
West,always wear a face mask and practice social distancing when in public guys ,NEUTRAL
West,first mask tu bawah hiding second no social distancing third that child is without a mask fourth i give up because y all are stupid ,NEGATIVE
West,social distancing takda tiada kawalan di pintu masuk semua bedal masuk je gila btul ,NEGATIVE
West,harap kes covid menurun please guys pakai mask social distancing jgn lupa jgn selfish,NEGATIVE
East,paleotak dia social distancing dh kalau suruh student balik kolej kau nak social distancing apa sial mmg takdela social distancing kalau dkt kolej apa punya odo la ,NEGATIVE
East,tera terot semua power tapi aku perasan lak social distancing do,POSITIVE
East,happy birthday auntie bagus ya social distancing,POSITIVE
East,social distancing meetup ,NEUTRAL
East,social distancing nahhh i went to aeon distancing ke laut ,NEUTRAL
East,bye earth it s the real social distancing bye corona #spacex #nasa ,NEUTRAL
East,someone to you #staysafe #conditionalmovementcontrolorder #pkpb #socialdistancing #onemeter #asian #asianmen #lelakimalaysia #kitajagakita #kitamestimenang #malaysian #malaysia kipmall kota warisan ,POSITIVE
East,kan xpikiaq social distancing langsung,NEGATIVE
East,lid hang lupa ke hang pun berkempen kat sabah tapi tak ikut sop yg ditetapkan i e pakai mask jaga social distancing toksah tunding jari kalau diri hang pun tak betui ,NEGATIVE
East,kalau rakyat marhaen buat kenduri tapi bitau siap2 memang ada social distancing patut tak kena tangkap la kan ,NEGATIVE
East,ronggeng malam raya dengan wawa tak dapat tengok wayang dapat tengok pelita cantik pun boleh lah made my day watching it lit so beautifully at night kudos to them great work guys although social distancing ,POSITIVE
East,social distancing me i have anxiety ive been practising this for quite a while im used to this,NEGATIVE
East,if china can so can usa and all it needs is to wear a mask for all reopen businesses as usual but keep social distancing then everybody happy and safe ,POSITIVE
East,from social distancing to social disgusting get it ,NEGATIVE
East,did you note the lack of social distancing and mask of and after that pathetic press call great examples #covidiots,NEGATIVE
East,nda kisah mau kemana pun janji sop ikut ketat amalkan social distancing dan amalan kebersihan seperti disarankan jangan lupa bawa telekung sejadah last sekali minum byk air jgn bagi tekak kering kalau malas beli air botol boleh roger saya ,NEGATIVE
East,malaysia awards patut buat mcm ni nampak mcm kelakar tapi tulah social distancing kan penting ,POSITIVE
East,selamat petang kepada semua kecuali manusia yang pergi dating dekat bpmall jalan jalan macam buat rombongan bas tak social distancing suruh order dekat kaunter sebab kitaorang nak record customer tapi amik menu terus duduk ,NEGATIVE
East,the no of people not wearing face mask and don t practice social distancing in kelantan are very alarming i tel,NEGATIVE
East,kkia one of the gates to enter sabah keep practicing new normal social distancing and be safe kota kinabalu international airport ,POSITIVE
East,rip social distancing ,NEGATIVE
East,ada social distancing tak ,POSITIVE
East,manson 3 4 and to make it more easily enforceable understood make mask wearing compulsory when indoors in public spaces outdoors when social distancing is unavoidable and in public transportation ,NEUTRAL
East,at times they need social distancing ada juga rusuhan bulan june protes besar besaran 2020 sangat menakutkan ,NEGATIVE
East,appreciate whatever you have now always say alhamdulillah negaraku t shirt by #staysafe #conditionalmovementcontrolorder #pkpp #socialdistancing #onemeter #asian #asianmen #lelakimalaysia ,POSITIVE
East,looks great but if possible don t come all at once #socialdistancing ,POSITIVE
East,cluster penggerak komuniti negara woiii mana social distancing mana mask ,NEGATIVE
East,ini baru social distancing ,POSITIVE
East,basigup kita jo amalkan social distancing ya bukan social forestry hutan simpan khazanah ibu pejabat perhutanan sabah,POSITIVE
East,semua pekerja utan cafe dah di arah untuk tidak join any crowd practice social distancing and pakai mask but one of them today minta cuti and pergi singgah pasar malam pulak lol hence cannot work and quarantine 14 days tiada kompromi thank you haha ,POSITIVE
East,me mama dia tak jaga social distancing mama dalam hutan nak jaga social distancing apa ilham jaga la ni social distancing 542km k ,POSITIVE
East,rindu air breeze from new zealand not too cold just nice only oh diorg punya social distancing pun 2 metre sblom ni bukan 1m ,POSITIVE
East,social distancing at least ,NEUTRAL
East,but mostly social distancing mmg outttt ,NEUTRAL
East,selamat hari raya aidilfitri maaf zahir amp batin yang jauh kita dekatkan yang dekat kita terus eratkan silatulrahim i miss you husband stay safe there #coveid2020 #social distancing #ldr #kitajagakita ,NEUTRAL
East,most healthy young people don t wear masks or follow social distancing and not because they are brave as they know that they don t die of covid 19 more die of flu only the old and weak die of covid 19 so they help to spread to these old people by not following simple sop ,NEGATIVE
East,sad that some countries still advocate that which translates to lax social distancing measures or even no masking ,NEUTRAL
East,dear irc users irc will be closed 21 october 2020 until further notice thank you and sorry for the inconvenience #irconline #utpinme #staysafe #socialdistancing ,NEGATIVE
East,md live in singapore very safe national plan and people protect one another mandatory masks social distancing technology based contact tracing and quarantine restaurants malls shops schools open 2 cases in about a month will take the vaccine when available ,POSITIVE
East,katil dia ada social distancing bagus ,POSITIVE
East,7 i never thought the comment i wouldn t touch him her with a 6 foot pole would become a national policy but here we are 8 i need to practise social distancing from the re,NEUTRAL
East,social distancing katanyaaa ,NEGATIVE
East,actually ada sudah sop untuk mengundi setiap org ada giliran bila mengundi samada pagi tgh hari atau petang dan satu kawasan mengundi ada station2 dia sendiri spya ada social distancing ,POSITIVE
East,santa claus has the right idea for social distancing visit people once a year #runeveryday #teamrunstreak #runwitmeruneveryday #3kmeveryday the gardens mall ,POSITIVE
East,and social distancing tgk ramai je politicians snap pic duduk rapat2,POSITIVE
East,korok mung social distancing la,NEUTRAL
East,manson 2 4 surely we should err on the side of caution and use some common sense 1 avoid going out unnecessarily 2 always practice good personal hygiene at all times 3 in public spaces where social distancing is unavoidable or where air flow is not ideal wear a mask,POSITIVE
